Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units
NSRDB,949210,-,-,-,39.78,-105.23,-7,1873,-7,w/m2
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI
2020,1,1,0,0,0,0,0,0,0,0
2020,1,1,0,5,0,0,0,0,0,0
2020,1,1,0,10,0,0,0,0,0,0
2020,1,1,0,15,0,0,0,0,0,0
2020,1,1,0,20,0,0,0,0,0,0
2020,1,1,0,25,0,0,0,0,0,0
2020,1,1,0,30,0,0,0,0,0,0
2020,1,1,0,35,0,0,0,0,0,0
2020,1,1,0,40,0,0,0,0,0,0
2020,1,1,0,45,0,0,0,0,0,0
2020,1,1,0,50,0,0,0,0,0,0
2020,1,1,0,55,0,0,0,0,0,0
2020,1,1,1,0,0,0,0,0,0,0
2020,1,1,1,5,0,0,0,0,0,0
2020,1,1,1,10,0,0,0,0,0,0
2020,1,1,1,15,0,0,0,0,0,0
2020,1,1,1,20,0,0,0,0,0,0
2020,1,1,1,25,0,0,0,0,0,0
2020,1,1,1,30,0,0,0,0,0,0
2020,1,1,1,35,0,0,0,0,0,0
2020,1,1,1,40,0,0,0,0,0,0
2020,1,1,1,45,0,0,0,0,0,0
2020,1,1,1,50,0,0,0,0,0,0
2020,1,1,1,55,0,0,0,0,0,0
2020,1,1,2,0,0,0,0,0,0,0
2020,1,1,2,5,0,0,0,0,0,0
2020,1,1,2,10,0,0,0,0,0,0
2020,1,1,2,15,0,0,0,0,0,0
2020,1,1,2,20,0,0,0,0,0,0
2020,1,1,2,25,0,0,0,0,0,0
2020,1,1,2,30,0,0,0,0,0,0
2020,1,1,2,35,0,0,0,0,0,0
2020,1,1,2,40,0,0,0,0,0,0
2020,1,1,2,45,0,0,0,0,0,0
2020,1,1,2,50,0,0,0,0,0,0
2020,1,1,2,55,0,0,0,0,0,0
2020,1,1,3,0,0,0,0,0,0,0
2020,1,1,3,5,0,0,0,0,0,0
2020,1,1,3,10,0,0,0,0,0,0
2020,1,1,3,15,0,0,0,0,0,0
2020,1,1,3,20,0,0,0,0,0,0
2020,1,1,3,25,0,0,0,0,0,0
2020,1,1,3,30,0,0,0,0,0,0
2020,1,1,3,35,0,0,0,0,0,0
2020,1,1,3,40,0,0,0,0,0,0
2020,1,1,3,45,0,0,0,0,0,0
2020,1,1,3,50,0,0,0,0,0,0
2020,1,1,3,55,0,0,0,0,0,0
2020,1,1,4,0,0,0,0,0,0,0
2020,1,1,4,5,0,0,0,0,0,0
2020,1,1,4,10,0,0,0,0,0,0
2020,1,1,4,15,0,0,0,0,0,0
2020,1,1,4,20,0,0,0,0,0,0
2020,1,1,4,25,0,0,0,0,0,0
2020,1,1,4,30,0,0,0,0,0,0
2020,1,1,4,35,0,0,0,0,0,0
2020,1,1,4,40,0,0,0,0,0,0
2020,1,1,4,45,0,0,0,0,0,0
2020,1,1,4,50,0,0,0,0,0,0
2020,1,1,4,55,0,0,0,0,0,0
2020,1,1,5,0,0,0,0,0,0,0
2020,1,1,5,5,0,0,0,0,0,0
2020,1,1,5,10,0,0,0,0,0,0
2020,1,1,5,15,0,0,0,0,0,0
2020,1,1,5,20,0,0,0,0,0,0
